,,,,合計金額,"\55,907,112 ",,,,,,,,,,,,,,\0 ,\0 ,,,,,,
識別コード,識別コード分類,資材分類,資材区分,資材コード,備考,品名,色/他,構成,巾,長さ,t/厚み,単位,単価,棚卸し対象,対象,廃盤フラグ,前月在庫,数量合計の合計,合計金額の合計,合計金額(1%増し),調査日,顧客名,現場名,依頼番号,進捗率,前月差
01-098,01,基材,直接資材,N01000000000098,,ﾌｧﾙｶﾀ 15X4X8,,ﾌｧﾙｶﾀ,4',8',15,枚,3550,1,対象(通常品),0,16,32,113600,114736,2026/02/20,,,,100,
01-100,01,基材,直接資材,N01000000000100,,ﾌｧﾙｶﾀ ﾗﾝﾊﾞｰｺｱ  t15X3'X6',,ﾌｧﾙｶﾀ,3',6',15,枚,2000,1,対象(通常品),0,0,0,0,0,2026/02/20,,,,100,
01-101,01,基材,直接資材,N01000000000101,,ﾌｧﾙｶﾀ ﾗﾝﾊﾞｰｺｱ  t18X4'X8',,ﾌｧﾙｶﾀ,4',8',18,枚,4200,1,対象(通常品),0,10,10,42000,42420,2026/02/20,,,,100,
01-102,01,基材,直接資材,N01000000000102,,ﾌｧﾙｶﾀ合板 t18X3'X6',,ﾌｧﾙｶﾀ,3',6',18,枚,1850,1,対象(通常品),0,26,15,27750,28027.5,2026/02/20,,,,100,
01-104,01,基材,直接資材,N01000000000104,,合板 t9X910X1820,-,合板,910,1820,9,枚,1080,1,対象(通常品),0,0,0,0,0,2026/02/20,,,,100,
01-105,01,基材,直接資材,N01000000000105,,合板 12X910X1820,,合板,910,1820,12,枚,2000,1,対象(通常品),0,100,46,92000,92920,2026/02/20,,,,100,
01-109,01,基材,直接資材,N01000000000109,,ﾆｭｰﾀﾞｲｽｺｱ 500X1000X15.6,,ﾊﾆｶﾑ,500,1000,15.6,枚,46,1,対象(通常品),0,80,79,3634,3670.34,2026/02/20,,,,100,
01-110,01,基材,直接資材,N01000000000110,,ﾆｭｰﾀﾞｲｽｺｱ№60E 500X1000X26,,ﾊﾆｶﾑ,500,1000,26,枚,100,1,対象(通常品),0,24,24,2400,2424,2026/02/20,,,,100,
01-111,01,基材,直接資材,N01000000000111,,ﾆｭｰﾀﾞｲｽｺｱ№60E 500X1000X35,,ﾊﾆｶﾑ,500,1000,35,本,135,1,対象(通常品),0,134,104,14040,14180.4,2026/02/20,,,,100,
01-112,01,基材,直接資材,N01000000000112,,ﾆｭｰﾀﾞｲｽｺｱ№60E 500X1000X45,,ﾊﾆｶﾑ,500,1000,45,本,191,1,対象(通常品),0,0,0,0,0,2026/02/20,,,,100,
01-113,01,基材,直接資材,N01000000000113,,ﾆｭｰﾀﾞｲｽｺｱ№80E 329X1315X21,,ﾊﾆｶﾑ,329,1315,21,本,81,1,対象(通常品),0,268,236,19116,19307.16,2026/02/20,,,,100,
01-114,01,基材,直接資材,N01000000000114,,ﾆｭｰﾀﾞｲｽｺｱ№80E 329X1315X24.5,,ﾊﾆｶﾑ,329,1315,24.5,本,81,1,対象(通常品),0,84,378,30618,30924.18,2026/02/20,,,,100,
01-115,01,基材,直接資材,N01000000000115,,ﾆｭｰﾀﾞｲｽｺｱ№80E 500X1000X14.5,,ﾊﾆｶﾑ,500,1000,14.5,本,68,1,対象(通常品),0,291,507,34476,34820.76,2026/02/20,,,,100,
01-116,01,基材,直接資材,N01000000000116,,ﾆｭｰﾀﾞｲｽｺｱ№80E 329X1315X28,,ﾊﾆｶﾑ,329,1315,28,本,91,1,対象(通常品),0,149,196,17836,18014.36,2026/02/20,,,,100,
01-125,01,基材,直接資材,N01000000000125,,LVL 29.7X21.5X2002,,LVL,21.5,2002,29.7,本,145,1,対象(通常品),0,803,803,116435,117599.35,2026/02/20,,,,100,
01-127,01,基材,直接資材,N01000000000127,,LVL 40x27.5x2430,,LVL,27.5,2430,40,本,250,1,対象(通常品),0,592,592,148000,149480,2026/02/20,,,,100,
01-128,01,基材,直接資材,N01000000000128,,LVL t30X30X2430,,LVL,30,2430,30,本,255,1,対象(通常品),0,63,314,80070,80870.7,2026/02/20,,,,100,
01-137,01,基材,直接資材,N01000000000137,,LVL　30X25.5X1960,,,25.5,1960,30,本,161,1,対象(通常品),0,62,19,3059,3089.59,2026/02/20,,,,100,
01-139,01,基材,直接資材,N01000000000139,,MDF 2.5X3'X8',,,3',8',2.5,枚,770,1,対象(通常品),0,4,0,0,0,2026/02/20,,,,100,
01-142,01,基材,直接資材,N01000000000142,,ﾌｧﾙｶﾀ　t12x4'X8',,,1200,2400,12,枚,2000,1,対象(通常品),0,1,1,2000,2020,2026/02/20,,,,100,
01-143,01,基材,直接資材,N01000000000143,,MDF　18*3'*8',,,,,,枚,3500,1,対象(通常品),0,0,0,0,0,2026/02/20,,,,100,
01-144,01,基材,間接資材,N01000000000144,,ﾆｭｰﾀﾞｲｽｺｱ500x1000x35.4,,,,,,式,151,1,対象(通常品),0,0,168,25368,25621.68,2026/02/20,,,,100,
01-145,01,基材,間接資材,N01000000000145,,MDF 4x4x8,,,,,,式,968,1,対象(通常品),0,0,0,0,0,2026/02/20,,,,100,
01-146,01,基材,直接資材,N01000000000146,,MDF1240x3900xt21,,,,,,式,9950,1,対象(通常品),0,0,0,0,0,2026/02/20,,,,100,
02-001,02,面材,直接資材,N02000000000001,,片面化粧MDF t2.5X3'X8' BW,BW,MDF,910,2420,2.5,枚,1164,1,対象(通常品),0,30,0,0,0,2026/02/20,,,,100,
02-002,02,面材,直接資材,N02000000000002,,片面化粧MDF t2.5X3'X9' BW,BW,MDF,910,2720,2.5,枚,1754,1,対象(通常品),0,12,30,52620,53146.2,2026/02/20,,,,100,
02-004,02,面材,直接資材,N02000000000004,,片面化粧MDF t2.5X3'X8' CS,CS,MDF,3',8',2.5,枚,2340,1,対象(通常品),0,17,16,37440,37814.4,2026/02/20,,,,100,
02-005,02,面材,直接資材,N02000000000005,,片面化粧MDF t2.5X3'X8' GO,GO,MDF,910,2420,2.5,枚,1508,1,対象(通常品),0,25,6,9048,9138.48,2026/02/20,,,,100,
