,,,,合計金額,"\52,471,358 ",,,,,,,,,,,,,,\0 ,\0 ,,,,,,
識別コード,識別コード分類,資材分類,資材区分,資材コード,備考,品名,色/他,構成,巾,長さ,t/厚み,単位,単価,棚卸し対象,対象,廃盤フラグ,前月在庫,数量合計の合計,合計金額の合計,合計金額(1%増し),調査日,顧客名,現場名,依頼番号,進捗率,前月差
01-023,01,基材,直接資材,N01000000000023,,LVL 30X14X2430,,LVL,14,2430,30,本,115,1,対象(通常品),0,510,510,58650,59236.5,2026/04/20,,,,100,
01-024,01,基材,直接資材,N01000000000024,,LVL 30X17.7X2430,,LVL,17.7,2430,30,本,127,1,対象(通常品),0,542,542,68834,69522.34,2026/04/20,,,,100,
01-026,01,基材,直接資材,N01000000000026,,LVL 30X21.5X2002,,LVL,21.5,2002,30,本,160,1,対象(通常品),0,200,200,32000,32320,2026/04/20,,,,100,
01-029,01,基材,直接資材,N01000000000029,,LVL 30X21X2430,,LVL,21,2430,30,本,170,1,対象(通常品),0,365,338,57460,58034.6,2026/04/20,,,,100,
01-032,01,基材,直接資材,N01000000000032,,LVL 30X22X2430,,LVL,22,2430,30,本,190,1,対象(通常品),0,396,396,75240,75992.4,2026/04/20,,,,100,
01-036,01,基材,直接資材,N01000000000036,,LVL 30X24.5X2430 ｼｪﾙﾌ用 3C,,LVL,24.5,2430,30,本,205,1,対象(通常品),0,4,178,36490,36854.9,2026/04/20,,,,100,
01-038,01,基材,直接資材,N01000000000038,,LVL 30X24.5X2995  ｼｪﾙﾌ用 片面3C,,LVL,24.5,2995,30,本,350,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
01-039,01,基材,直接資材,N01000000000039,,LVL 30X25.5X2002 (t29.7),,LVL,25.5,2002,30,本,160,1,対象(通常品),0,1158,1082,173120,174851.2,2026/04/20,,,,100,
01-040,01,基材,直接資材,N01000000000040,,LVL 30X25.5X2430 (t29.7),,LVL,25.5,2430,30,本,200,1,対象(通常品),0,568,568,113600,114736,2026/04/20,,,,100,
01-043,01,基材,直接資材,N01000000000043,,LVL 30X26.5X2430,,LVL,26.5,2430,30,本,240,1,対象(通常品),0,272,176,42240,42662.4,2026/04/20,,,,100,
01-045,01,基材,直接資材,N01000000000045,,LVL 30X26X2430,,LVL,26,2430,30,本,193,1,対象(通常品),0,530,612,118116,119297.16,2026/04/20,,,,100,
01-048,01,基材,直接資材,N01000000000048,,LVL 30X27.5X2430,,LVL,27.5,2430,30,本,235,1,対象(通常品),0,0,85,19975,20174.75,2026/04/20,,,,100,
01-051,01,基材,直接資材,N01000000000051,,LVL 30x33.5X2430,,LVL,33.5,2430,30,本,285,1,対象(通常品),0,473,198,56430,56994.3,2026/04/20,,,,100,
01-052,01,基材,直接資材,N01000000000052,,LVL 35X30X2430,,LVL,30,2430,35,本,295,1,対象(通常品),0,342,204,60180,60781.8,2026/04/20,,,,100,
01-053,01,基材,直接資材,N01000000000053,,LVL 40x21x2430,,LVL,21,2430,40,本,210,1,対象(通常品),0,360,360,75600,76356,2026/04/20,,,,100,
