,,,,合計金額,"\52,471,358 ",,,,,,,,,,,,,,\0 ,\0 ,,,,,,
01-060,01,基材,直接資材,N01000000000060,,LVL/RD貼  30X21.5X2002,,LVL,21.5,2002,30,本,355,1,対象(通常品),0,123,40,14200,14342,2026/04/20,,,,100,
01-061,01,基材,直接資材,N01000000000061,,LVL/RD貼  30X25.5X2002,,LVL,25.5,2002,30,本,421,1,対象(通常品),0,91,85,35785,36142.85,2026/04/20,,,,100,
01-063,01,基材,直接資材,N01000000000063,,LVL/RD貼 ｼｬｸﾘ付 30X27.5X2430,,LVL,27.5,2430,30,本,481,1,対象(通常品),0,68,143,68783,69470.83,2026/04/20,,,,100,
01-068,01,基材,直接資材,N01000000000068,,MDF 15X4X6,,MDF,1220,1830,15,枚,2780,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
01-069,01,基材,直接資材,N01000000000069,,MDF 2.5X3X7,,MDF,3',7',2.5,枚,95,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
01-073,01,基材,直接資材,N01000000000073,,MDF 4X4'X8',,MDF,1245,2450,4,枚,968,1,対象(通常品),0,2241,2203,2132504,2153829.04,2026/04/20,,,,100,
01-074,01,基材,直接資材,N01000000000074,,MDF 5.5X4'X8',-,MDF,1245,2450,5.5,本,1630,1,対象(通常品),0,917,833,1357790,1371367.9,2026/04/20,,,,100,
01-078,01,基材,直接資材,N01000000000078,,MDF t18X4'X8',-,MDF,4',8',18,本,1860,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
01-079,01,基材,直接資材,N01000000000079,,MDF t21X4'X6',-,MDF,4',6',21,本,4800,1,対象(通常品),0,6,0,0,0,2026/04/20,,,,100,
01-083,01,基材,直接資材,N01000000000083,,MDF t27㎜X4'X8',-,MDF,4',8',27,本,7800,1,対象(通常品),0,10,6,46800,47268,2026/04/20,,,,100,
01-086,01,基材,直接資材,N01000000000086,,MDF t5.5X4'X6',-,MDF,4',6',5.5,枚,980,1,対象(通常品),0,26,13,12740,12867.4,2026/04/20,,,,100,
01-087,01,基材,直接資材,N01000000000087,,MDF t9X4X6,-,MDF,1220,6',9,枚,1700,1,対象(通常品),0,25,13,22100,22321,2026/04/20,,,,100,
01-088,01,基材,直接資材,N01000000000088,,ﾊｲﾍﾞｽﾄｳｯﾄﾞMDF 21X920X3950,(ﾃｰﾌﾞﾙ天板用)ｱｻｲｳｯﾄﾞﾏﾃﾘｱ,MDF,920,3950,21,枚,5914,1,対象(通常品),0,38,2,11828,11946.28,2026/04/20,,,,100,
01-089,01,基材,直接資材,N01000000000089,,PB t12X4'X6',-,PB,3',6',12,枚,1800,1,対象(通常品),0,89,19,34200,34542,2026/04/20,,,,100,
01-093,01,基材,直接資材,N01000000000093,,PB t15X4'X6',-,PB,4',6',15,枚,1776,1,対象(通常品),0,4,70,124320,125563.2,2026/04/20,,,,100,
01-095,01,基材,直接資材,N01000000000095,,PB t18X4'X6',-,PB,1220,1860,18,枚,2352,1,対象(通常品),0,12,11,25872,26130.72,2026/04/20,,,,100,
01-096,01,基材,直接資材,N01000000000096,,PB t20X4'X6',-,PB,4',6',20,枚,1716,1,対象(通常品),0,1,0,0,0,2026/04/20,,,,100,
01-098,01,基材,直接資材,N01000000000098,,ﾌｧﾙｶﾀ 15X4X8,,ﾌｧﾙｶﾀ,4',8',15,枚,3550,1,対象(通常品),0,16,22,78100,78881,2026/04/20,,,,100,
01-100,01,基材,直接資材,N01000000000100,,ﾌｧﾙｶﾀ ﾗﾝﾊﾞｰｺｱ  t15X3'X6',,ﾌｧﾙｶﾀ,3',6',15,枚,2000,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
01-101,01,基材,直接資材,N01000000000101,,ﾌｧﾙｶﾀ ﾗﾝﾊﾞｰｺｱ  t18X4'X8',,ﾌｧﾙｶﾀ,4',8',18,枚,4200,1,対象(通常品),0,10,10,42000,42420,2026/04/20,,,,100,
01-102,01,基材,直接資材,N01000000000102,,ﾌｧﾙｶﾀ合板 t18X3'X6',,ﾌｧﾙｶﾀ,3',6',18,枚,1850,1,対象(通常品),0,26,0,0,0,2026/04/20,,,,100,
01-104,01,基材,直接資材,N01000000000104,,合板 t9X910X1820,-,合板,910,1820,9,枚,1080,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
01-105,01,基材,直接資材,N01000000000105,,合板 12X910X1820,,合板,910,1820,12,枚,2000,1,対象(通常品),0,100,69,138000,139380,2026/04/20,,,,100,
01-109,01,基材,直接資材,N01000000000109,,ﾆｭｰﾀﾞｲｽｺｱ 500X1000X15.6,,ﾊﾆｶﾑ,500,1000,15.6,枚,46,1,対象(通常品),0,80,79,3634,3670.34,2026/04/20,,,,100,
01-110,01,基材,直接資材,N01000000000110,,ﾆｭｰﾀﾞｲｽｺｱ№60E 500X1000X26,,ﾊﾆｶﾑ,500,1000,26,枚,100,1,対象(通常品),0,24,24,2400,2424,2026/04/20,,,,100,
01-111,01,基材,直接資材,N01000000000111,,ﾆｭｰﾀﾞｲｽｺｱ№60E 500X1000X35,,ﾊﾆｶﾑ,500,1000,35,本,135,1,対象(通常品),0,134,72,9720,9817.2,2026/04/20,,,,100,
01-112,01,基材,直接資材,N01000000000112,,ﾆｭｰﾀﾞｲｽｺｱ№60E 500X1000X45,,ﾊﾆｶﾑ,500,1000,45,本,191,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
01-113,01,基材,直接資材,N01000000000113,,ﾆｭｰﾀﾞｲｽｺｱ№80E 329X1315X21,,ﾊﾆｶﾑ,329,1315,21,本,81,1,対象(通常品),0,268,236,19116,19307.16,2026/04/20,,,,100,
01-114,01,基材,直接資材,N01000000000114,,ﾆｭｰﾀﾞｲｽｺｱ№80E 329X1315X24.5,,ﾊﾆｶﾑ,329,1315,24.5,本,81,1,対象(通常品),0,84,401,32481,32805.81,2026/04/20,,,,100,
01-115,01,基材,直接資材,N01000000000115,,ﾆｭｰﾀﾞｲｽｺｱ№80E 500X1000X14.5,,ﾊﾆｶﾑ,500,1000,14.5,本,68,1,対象(通常品),0,291,485,32980,33309.8,2026/04/20,,,,100,
01-116,01,基材,直接資材,N01000000000116,,ﾆｭｰﾀﾞｲｽｺｱ№80E 329X1315X28,,ﾊﾆｶﾑ,329,1315,28,本,91,1,対象(通常品),0,149,174,15834,15992.34,2026/04/20,,,,100,
01-125,01,基材,直接資材,N01000000000125,,LVL 29.7X21.5X2002,,LVL,21.5,2002,29.7,本,145,1,対象(通常品),0,803,803,116435,117599.35,2026/04/20,,,,100,
01-127,01,基材,直接資材,N01000000000127,,LVL 40x27.5x2430,,LVL,27.5,2430,40,本,250,1,対象(通常品),0,592,551,137750,139127.5,2026/04/20,,,,100,
01-128,01,基材,直接資材,N01000000000128,,LVL t30X30X2430,,LVL,30,2430,30,本,255,1,対象(通常品),0,63,121,30855,31163.55,2026/04/20,,,,100,
01-137,01,基材,直接資材,N01000000000137,,LVL　30X25.5X1960,,,25.5,1960,30,本,161,1,対象(通常品),0,62,19,3059,3089.59,2026/04/20,,,,100,
01-139,01,基材,直接資材,N01000000000139,,MDF 2.5X3'X8',,,3',8',2.5,枚,770,1,対象(通常品),0,4,0,0,0,2026/04/20,,,,100,
01-142,01,基材,直接資材,N01000000000142,,ﾌｧﾙｶﾀ　t12x4'X8',,,1200,2400,12,枚,2000,1,対象(通常品),0,1,1,2000,2020,2026/04/20,,,,100,
01-143,01,基材,直接資材,N01000000000143,,MDF　18*3'*8',,,,,,枚,3500,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
01-144,01,基材,間接資材,N01000000000144,,ﾆｭｰﾀﾞｲｽｺｱ500x1000x35.4,,,,,,式,151,1,対象(通常品),0,0,107,16157,16318.57,2026/04/20,,,,100,
01-145,01,基材,間接資材,N01000000000145,,MDF 4x4x8,,,,,,式,968,1,対象(通常品),0,0,1,968,977.68,2026/04/20,,,,100,
01-146,01,基材,直接資材,N01000000000146,,MDF1240x3900xt21,,,,,,式,9950,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
01-147,01,基材,間接資材,N01000000000147,,MDF(WH/SH)5.5X4X6,,,,,,式,,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
02-001,02,面材,直接資材,N02000000000001,,片面化粧MDF t2.5X3'X8' BW,BW,MDF,910,2420,2.5,枚,1164,1,対象(通常品),0,30,30,34920,35269.2,2026/04/20,,,,100,
02-002,02,面材,直接資材,N02000000000002,,片面化粧MDF t2.5X3'X9' BW,BW,MDF,910,2720,2.5,枚,1754,1,対象(通常品),0,12,30,52620,53146.2,2026/04/20,,,,100,
02-004,02,面材,直接資材,N02000000000004,,片面化粧MDF t2.5X3'X8' CS,CS,MDF,3',8',2.5,枚,2340,1,対象(通常品),0,17,16,37440,37814.4,2026/04/20,,,,100,
02-005,02,面材,直接資材,N02000000000005,,片面化粧MDF t2.5X3'X8' GO,GO,MDF,910,2420,2.5,枚,1508,1,対象(通常品),0,25,25,37700,38077,2026/04/20,,,,100,
02-006,02,面材,直接資材,N02000000000006,,片面化粧MDF t2.5X3'X9' GO,GO,MDF,910,2720,2.5,枚,1934,1,対象(通常品),0,30,26,50284,50786.84,2026/04/20,,,,100,
02-007,02,面材,直接資材,N02000000000007,,片面化粧MDF t2.5X3'X8' LO,LO,MDF,3',8',2.5,枚,1338,1,対象(通常品),0,18,0,0,0,2026/04/20,,,,100,
02-008,02,面材,直接資材,N02000000000008,,片面化粧MDF t2.5X3'X9' LO,LO,MDF,3',9',2.5,枚,1400,1,対象(通常品),0,11,38,53200,53732,2026/04/20,,,,100,
02-009,02,面材,直接資材,N02000000000009,,片面化粧MDF t2.5X3'X8' MC,MC,MDF,3',8',2.5,枚,969.33,1,対象(通常品),0,0,30,29079.9,29370.699,2026/04/20,,,,100,
02-010,02,面材,直接資材,N02000000000010,,片面化粧MDF t2.5X3'X9' MC,MC,MDF,3',9',2.5,枚,1754,1,対象(通常品),0,52,39,68406,69090.06,2026/04/20,,,,100,
02-011,02,面材,直接資材,N02000000000011,,片面化粧MDF t2.5X3'X6' MW,MW,MDF,3',6',2.5,枚,1059,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
02-012,02,面材,直接資材,N02000000000012,,片面化粧MDF t2.5X3X7 MW,MW,MDF,3',7',2.5,枚,946,1,対象(通常品),0,59,90,85140,85991.4,2026/04/20,,,,100,
02-014,02,面材,直接資材,N02000000000014,,片面化粧MDF 2.5X3X7 NK,NK,MDF,3',7',2.5,枚,946,1,対象(通常品),0,36,36,34056,34396.56,2026/04/20,,,,100,
02-017,02,面材,直接資材,N02000000000017,,片面化粧MDF 2.5X3X7 RD,RD,MDF,3',7',2.5,枚,655,1,対象(通常品),0,34,35,22925,23154.25,2026/04/20,,,,100,
02-020,02,面材,直接資材,N02000000000020,,片面化粧MDF t2.5X3'X9' SH,SH,MDF,3',9',2.5,枚,1754,1,対象(通常品),0,35,30,52620,53146.2,2026/04/20,,,,100,
02-021,02,面材,直接資材,N02000000000021,,片面化粧MDFt2.5X3X8 SY,SY,MDF,3',8',2.5,枚,1120,1,対象(通常品),0,19,31,34720,35067.2,2026/04/20,,,,100,
02-022,02,面材,直接資材,N02000000000022,,片面化粧MDF t2.5X3'X8' WH,WH,MDF,910,2420,2.5,枚,1338,1,対象(通常品),0,156,28,37464,37838.64,2026/04/20,,,,100,
02-023,02,面材,直接資材,N02000000000023,,片面化粧MDF t2.5X3'X9' WH,WH,MDF,910,2720,2.5,枚,1754,1,対象(通常品),0,16,23,40342,40745.42,2026/04/20,,,,100,
02-024,02,面材,直接資材,N02000000000024,,片面化粧MDF t2.5X3'X8' WM,WM,MDF,3',8',2.5,枚,1545,1,対象(通常品),0,130,37,57165,57736.65,2026/04/20,,,,100,
02-025,02,面材,直接資材,N02000000000025,,片面化粧MDF t2.5X3'X9' WM,WM,MDF,3',9',2.5,枚,1754,1,対象(通常品),0,60,36,63144,63775.44,2026/04/20,,,,100,
02-027,02,面材,直接資材,N02000000000027,,片面化粧MDF 2.5X3X7 WW,WW,MDF,3',7',2.5,枚,655,1,対象(通常品),0,90,42,27510,27785.1,2026/04/20,,,,100,
02-028,02,面材,直接資材,N02000000000028,,片面化粧MDF t2.5X3'X8' LW ﾚｻﾞｰﾎﾜｲﾄ,LW,MDF,910,2430,2.5,枚,2340,1,対象(通常品),0,20,20,46800,47268,2026/04/20,,,,100,
02-029,02,面材,直接資材,N02000000000029,,片面化粧MDF t2.5X3'X8' MW ﾏｰﾌﾞﾙｳｯﾄﾞ,MW,MDF,910,2430,2.5,枚,2340,1,対象(通常品),0,26,25,58500,59085,2026/04/20,,,,100,
02-030,02,面材,直接資材,N02000000000030,,片面化粧MDF t2.5X3'X8' NO ﾉﾙﾃｵｰｸ,NO,MDF,910,2430,2.5,枚,2340,1,対象(通常品),0,9,25,58500,59085,2026/04/20,,,,100,
02-031,02,面材,直接資材,N02000000000031,,片面化粧MDF t2.5X3'X8' BA ﾌﾞﾗｯｸｱｶｼｱ,BA,MDF,910,2430,2.5,枚,2340,1,対象(通常品),0,28,42,98280,99262.8,2026/04/20,,,,100,
02-033,02,面材,直接資材,N02000000000033,,片面化粧MDF t2.5X3'X8' MA ﾐﾃﾞｨｱﾑｱｶｼｱ,MA,MDF,910,2430,2.5,枚,2340,1,対象(通常品),0,35,39,91260,92172.6,2026/04/20,,,,100,
02-034,02,面材,直接資材,N02000000000034,,片面化粧MDF t2.5X3'X8' NBL ﾈｵﾌﾞﾗｯｸﾚｻﾞｰ,NBL,MDF,910,2430,2.5,枚,2340,1,対象(通常品),0,0,13,30420,30724.2,2026/04/20,,,,100,
02-035,02,面材,直接資材,N02000000000035,,片面化粧MDF t2.5X3'X8' PW ﾊﾟｰﾙﾎﾜｲﾄ,PW,MDF,910,2430,2.5,枚,3055,1,対象(通常品),0,30,30,91650,92566.5,2026/04/20,,,,100,
02-036,02,面材,直接資材,N02000000000036,,片面化粧MDF t2.5X3'X8' TO ｻｰﾓｽｵｰｸ,TO,MDF,910,2430,2.5,枚,2340,1,対象(通常品),0,20,8,18720,18907.2,2026/04/20,,,,100,
02-037,02,面材,直接資材,N02000000000037,,片面化粧MDF t2.5X3'X8' UW ｱﾝﾊﾞｰｳｫｰﾙﾅｯﾄ,UW,MDF,910,2430,2.5,枚,2340,1,対象(通常品),0,24,21,49140,49631.4,2026/04/20,,,,100,
02-038,02,面材,直接資材,N02000000000038,,"片面化粧MDF t2.5X3'X8' 
ﾊﾞﾆﾗｳｯﾄﾞ",VW,MDF,3',8',2.5,枚,2340,1,対象(通常品),0,17,14,32760,33087.6,2026/04/20,,,,100,
02-041,02,面材,直接資材,N02000000000041,,片面化粧MDF t4X4'X6' NK,NK,MDF,4',6',4,枚,1200,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
02-051,02,面材,直接資材,N02000000000051,アイマックス,MDF化粧天板 t18X405X2450 BR,BR,MDF,405,2450,18,枚,3190,9,対象(外注先売却予定),0,60,60,191400,193314,2026/04/20,,,,100,
02-052,02,面材,直接資材,N02000000000052,アイマックス,MDF化粧天板 t18X405X2450 BW,BW,MDF,405,2450,18,枚,3010,9,対象(外注先売却予定),0,9,9,27090,27360.9,2026/04/20,,,,100,
02-055,02,面材,直接資材,N02000000000055,アイマックス,化粧MDF t18X4'X7' BW,BW,MDF,1225,2165,18,枚,6950,9,対象(外注先売却予定),0,8,8,55600,56156,2026/04/20,,,,100,
02-056,02,面材,直接資材,N02000000000056,アイマックス,MDF化粧天板 t18X405X2450 CW,CW,MDF,405,2450,18,枚,3055,9,対象(外注先売却予定),0,16,16,48880,49368.8,2026/04/20,,,,100,
02-057,02,面材,直接資材,N02000000000057,アイマックス,化粧MDF t18X3'X6' CW,CW,MDF,915,1825,18,枚,5020,9,対象(外注先売却予定),0,8,8,40160,40561.6,2026/04/20,,,,100,
02-058,02,面材,直接資材,N02000000000058,アイマックス,MDF化粧天板 t18X405X2450 GO,GO,MDF,405,2450,18,枚,3010,9,対象(外注先売却予定),0,7,7,21070,21280.7,2026/04/20,,,,100,
02-062,02,面材,直接資材,N02000000000062,アイマックス,MDF化粧天板 t18X405X2450 GW,GW,MDF,405,2450,18,枚,3055,9,対象(外注先売却予定),0,10,10,30550,30855.5,2026/04/20,,,,100,
02-063,02,面材,直接資材,N02000000000063,アイマックス,MDF化粧天板 t18X405X2450 LCB,LCB,MDF,405,2450,18,枚,3055,9,対象(外注先売却予定),0,9,9,27495,27769.95,2026/04/20,,,,100,
02-064,02,面材,直接資材,N02000000000064,アイマックス,化粧MDF t18X920X1850 LCB,LCB,MDF,920,1850,18,枚,4555,9,対象(外注先売却予定),0,20,18,81990,82809.9,2026/04/20,,,,100,
02-066,02,面材,直接資材,N02000000000066,アイマックス,化粧MDF t18X920X1850 LCW,LCW,MDF,920,1850,18,枚,7000,9,対象(外注先売却予定),0,10,10,70000,70700,2026/04/20,,,,100,
02-067,02,面材,直接資材,N02000000000067,アイマックス,MDF化粧天板 t18X405X2450 LO,LO,MDF,405,2450,18,枚,2895,9,対象(外注先売却予定),0,13,13,37635,38011.35,2026/04/20,,,,100,
02-069,02,面材,直接資材,N02000000000069,アイマックス,MDF化粧天板 t18X405X2450 MC,MC,MDF,405,2450,18,枚,2895,9,対象(外注先売却予定),0,16,16,46320,46783.2,2026/04/20,,,,100,
02-070,02,面材,直接資材,N02000000000070,アイマックス,化粧MDF t18X4'X8' MC,MC,MDF,1200,2400,18,枚,9315,9,対象(外注先売却予定),0,20,20,186300,188163,2026/04/20,,,,100,
02-072,02,面材,直接資材,N02000000000072,アイマックス,MDF化粧天板 t18X405X2450 SH,SH,MDF,405,2450,18,枚,2895,9,対象(外注先売却予定),0,17,17,49215,49707.15,2026/04/20,,,,100,
02-074,02,面材,直接資材,N02000000000074,アイマックス,MDF化粧天板 t18X405X2450 SP,SP,MDF,405,2450,18,枚,3055,9,対象(外注先売却予定),0,7,7,21385,21598.85,2026/04/20,,,,100,
02-076,02,面材,直接資材,N02000000000076,アイマックス,MDF t18x4'x8' SP,SP,MDF,4',8',18,枚,9315,9,対象(外注先売却予定),0,8,8,74520,75265.2,2026/04/20,,,,100,
02-080,02,面材,直接資材,N02000000000080,アイマックス,MDF化粧天板 t18X405X2450 WM,WM,MDF,405,2450,18,枚,2895,9,対象(外注先売却予定),0,6,6,17370,17543.7,2026/04/20,,,,100,
02-083,02,面材,直接資材,N02000000000083,アイマックス,化粧MDF t18X4'X8' WM,WM,MDF,4',8',18,枚,9315,9,対象(外注先売却予定),0,13,13,121095,122305.95,2026/04/20,,,,100,
02-084,02,面材,直接資材,N02000000000084,アイマックス,化粧MDF t18X3'X6' ｽｴｯﾄｸﾛﾏ,ｽｴｯﾄｸﾛﾏ,MDF,920,1850,18,枚,1800,9,対象(外注先売却予定),0,2,2,3600,3636,2026/04/20,,,,100,
02-086,02,面材,直接資材,N02000000000086,アイマックス,MDF化粧天板 t18X405X2450 CS色,CS,MDF,405,2450,18,枚,3055,9,対象(外注先売却予定),0,6,6,18330,18513.3,2026/04/20,,,,100,
02-088,02,面材,直接資材,N02000000000088,アイマックス,MDF化粧天板 t18X405X2450 住友MC,住友MC,MDF,405,2450,18,枚,3190,9,対象(外注先売却予定),0,43,43,137170,138541.7,2026/04/20,,,,100,
02-089,02,面材,直接資材,N02000000000089,アイマックス,MDF化粧天板 t18X405X2450 MW色,MW,MDF,405,2450,18,枚,3190,9,対象(外注先売却予定),0,49,49,156310,157873.1,2026/04/20,,,,100,
02-090,02,面材,直接資材,N02000000000090,アイマックス,MDF化粧天板 t18X405X2450 NO色,NO,MDF,405,2450,18,枚,3055,9,対象(外注先売却予定),0,10,10,30550,30855.5,2026/04/20,,,,100,
02-091,02,面材,直接資材,N02000000000091,アイマックス,MDF化粧天板 t18X405X2450 BA色,BA,MDF,405,2450,18,枚,3055,9,対象(外注先売却予定),0,22,22,67210,67882.1,2026/04/20,,,,100,
02-092,02,面材,直接資材,N02000000000092,アイマックス,MDF化粧天板 t18X405X2450 MA色,MA,MDF,405,2450,18,枚,3055,9,対象(外注先売却予定),0,30,30,91650,92566.5,2026/04/20,,,,100,
02-093,02,面材,直接資材,N02000000000093,アイマックス,MDF化粧天板 t18X405X2450NBL色,NBL,MDF,405,2450,18,枚,3190,9,対象(外注先売却予定),0,10,10,31900,32219,2026/04/20,,,,100,
02-094,02,面材,直接資材,N02000000000094,アイマックス,MDF化粧天板 t18X405X2450 TO色,TO,MDF,405,2450,18,枚,3055,9,対象(外注先売却予定),0,25,25,76375,77138.75,2026/04/20,,,,100,
02-095,02,面材,直接資材,N02000000000095,アイマックス,MDF化粧天板 t18X405X2450 UW色,UW,MDF,405,2450,18,枚,3055,9,対象(外注先売却予定),0,15,15,45825,46283.25,2026/04/20,,,,100,
02-097,02,面材,直接資材,N02000000000097,,MDF t18X4'X6' BSH-254,BSH-254,MDF,4',6',18,枚,5000,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
02-098,02,面材,直接資材,N02000000000098,アイマックス,MDF t18X3'X6' BR/ｸﾞﾚ,BR,MDF,910,1820,18,枚,4381,9,対象(外注先売却予定),0,5,5,21905,22124.05,2026/04/20,,,,100,
02-099,02,面材,直接資材,N02000000000099,アイマックス,MDF t18x4'x8' BW,BW,MDF,4',8',18,枚,7842,9,対象(外注先売却予定),0,41,41,321522,324737.22,2026/04/20,,,,100,
02-100,02,面材,直接資材,N02000000000100,アイマックス,MDF t18x4'x8' LO,LO,MDF,4',8',18,枚,9315,9,対象(外注先売却予定),0,15,15,139725,141122.25,2026/04/20,,,,100,
02-104,02,面材,直接資材,N02000000000104,,MDF t18x4'x8' WH,WH,MDF,4',8',18,枚,9315,1,対象(通常品),0,11,0,0,0,2026/04/20,,,,100,
02-105,02,面材,直接資材,N02000000000105,,MDF t18X3'X6' WS4002ES/TWﾎﾜｲﾄ,WS4002ES/TWﾎﾜｲﾄ,MDF,3',6',18,枚,3980,1,対象(通常品),0,4,4,15920,16079.2,2026/04/20,,,,100,
02-106,02,面材,直接資材,N02000000000106,,MDF t18X3'X6' WS5188E/TWﾎﾜｲﾄ,WS5188E/TWﾎﾜｲﾄ,MDF,3',6',18,枚,4780,1,対象(通常品),0,1,1,4780,4827.8,2026/04/20,,,,100,
02-110,02,面材,直接資材,N02000000000110,アイマックス,MDF t18X3'X8' 表BA色 / 裏ｼｰﾄ貼 ﾌﾞﾗｯｸｱｶｼｱ,BA,MDF,910,2430,18,枚,3910,9,対象(外注先売却予定),0,13,13,50830,51338.3,2026/04/20,,,,100,
02-142,02,面材,直接資材,N02000000000142,ソハード,PB両面化粧板 t15X4'X8' WH,WH,PB,1220,2450,15,枚,3600,9,対象(外注先売却予定),0,17,7,25200,25452,2026/04/20,,,,100,
02-151,02,面材,直接資材,N02000000000151,アイマックス,化粧PB t18X3'X8' LCB,LCB,PB,933,2442,18,枚,5330,9,対象(外注先売却予定),0,18,20,106600,107666,2026/04/20,,,,100,
02-153,02,面材,直接資材,N02000000000153,アイマックス,PB t18X3'X8' 表CS色 / 裏ｼｰﾄ貼 ﾁｮｰｸﾄﾞｽｸﾋﾟﾗ,CS,PB,910,2430,18,枚,5330,9,対象(外注先売却予定),0,21,21,111930,113049.3,2026/04/20,,,,100,
02-157,02,面材,直接資材,N02000000000157,アイマックス,PB t18X3'X8' 表NO色 / 裏ｼｰﾄ貼 ﾉﾙﾃｵｰｸ,NO,PB,910,2430,18,枚,5330,9,対象(外注先売却予定),0,3,0,0,0,2026/04/20,,,,100,
02-165,02,面材,直接資材,N02000000000165,アイマックス,ﾗｯﾋﾟﾝｸﾞ平貼 t18X3'X8' 表:GW色/裏:ｸﾞﾚ,GW,PB,3',8’,18,枚,7615,9,対象(外注先売却予定),0,26,16,121840,123058.4,2026/04/20,,,,100,
02-170,02,面材,直接資材,N02000000000170,,両面WM PB t20X4'X6',WM,PB,1220,1862,20,枚,2816,1,対象(通常品),0,0,0,0,0,2026/04/20,,,,100,
02-172,02,面材,直接資材,N02000000000172,アイマックス,LVS化粧天板 t18X405X2450 CS色,CS,LVS,405,2450,18,枚,5745,9,対象(外注先売却予定),0,26,26,149370,150863.7,2026/04/20,,,,100,
02-173,02,面材,直接資材,N02000000000173,アイマックス,LVS化粧天板 t18X405X2450LW色,LW,LVS,405,2450,18,枚,5745,9,対象(外注先売却予定),0,3,3,17235,17407.35,2026/04/20,,,,100,
02-174,02,面材,直接資材,N02000000000174,アイマックス,LVS化粧天板 t18X405X2436 MW色,MW,LVS,405,2436,18,枚,5745,9,対象(外注先売却予定),0,6,6,34470,34814.7,2026/04/20,,,,100,
